N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8942132718670387,0.8541472083307821,0.8702020600464706,0.5286396181384249,0.6919050846845095,0.5932317786289676
Model2,500,2,1,0.8948198471430304,0.8543764083120567,0.8718720570958058,0.5465393794749404,0.6554726726757129,0.5887071180822793
Model3,500,3,1,0.8865704233895426,0.8483680146983243,0.8643240986032047,0.5232696897374701,0.629795562434171,0.5615163217324884
Model4,500,1,2,0.8925148610942618,0.8531237701292114,0.870004020557824,0.538782816229117,0.6425788356135419,0.5796280128321936
Model5,500,2,2,0.9027053257309232,0.8617240893897239,0.8802370280160211,0.551909307875895,0.6677865436410784,0.60354468505583
Model6,500,3,2,0.9019774353997331,0.8628647707031856,0.8811970932411638,0.5704057279236276,0.6591914899631599,0.6102620029310509
Model7,800,1,2,0.8972461482469974,0.863284483408492,0.8787415240392126,0.5924821002386634,0.655787836859032,0.6193888374701693
Model8,800,2,2,0.9044037365037001,0.8645494557802968,0.8836416209431744,0.5936754176610979,0.6529624928029945,0.6207924477021372
Model9,800,3,2,0.8784423146912532,0.8578409294930993,0.8659537247751303,0.6235083532219571,0.614639859264857,0.6170968724316624
