N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8495693315540459,0.8168215297531188,0.831197261378584,0.45584725536992843,0.5678754472102194,0.49613419886808785
Model2,500,2,1,0.8188766225888633,0.8178666058128534,0.81450196311964,0.49761336515513127,0.5386549435450088,0.5112876238260556
Model3,500,3,1,0.8205750333616402,0.8204303270478285,0.8135241218049495,0.45167064439140814,0.53804516630067,0.4661186131810676
Model4,500,1,2,0.8517530025476162,0.8533057561852242,0.8478392568518425,0.5924821002386634,0.5842992470180622,0.5822182391003361
Model5,500,2,2,0.8716486716001456,0.8498138075844938,0.8582300795407578,0.5936754176610979,0.6024894777275367,0.5928339749035094
Model6,500,3,2,0.8521169477132112,0.8537304436362874,0.847756697450867,0.6020286396181385,0.5898438251811566,0.5894286747366432
Model7,800,1,2,0.872133931820939,0.8518395969281386,0.8601396586129181,0.5853221957040573,0.593999889932987,0.5875570333511982
Model8,800,2,2,0.8592745359699139,0.8351321950041763,0.8448352474682858,0.5572792362768496,0.5749171871081451,0.5616851490898387
Model9,800,3,2,0.8477496057260706,0.855055548728871,0.8453243377948084,0.6294749403341289,0.5811070210614754,0.6024773924484728
